epoch,r2_top20_dev,r2_top40_dev,r2_top80_dev,r2_top20_test,r2_top40_test,r2_top80_test,allgenes_r2_dev,allgenes_r2_test,allgenes_pearson_dev,allgenes_pearson_test
0,0.5925191523472559,0.5373792345694889,0.48491710161984675,0.5859568419913606,0.5264148597654222,0.4837696354442348,-23.014343376376367,-23.358574030182584,0.30186313042398716,0.29441781352419194
1,0.6002047570362101,0.547479368025486,0.4959148761896848,0.5955231160791609,0.5363018668457005,0.4944606860710185,-7.091364992159869,-7.218125321881464,0.30912159206822726,0.3019643278439702
2,0.6067944428774907,0.5553748865212654,0.5044504857475256,0.6031499927805962,0.5449183271327824,0.5033934794149967,-3.803323562161116,-3.6552861392799634,0.31532547692854396,0.30837556180415665
3,0.6151217697880238,0.5647873674062279,0.5145953753138357,0.6120807894419349,0.5547285196053716,0.5135529988557734,-3.1299598179308648,-3.081859423442145,0.32281959197797083,0.31609077099472027
4,0.6226768771728152,0.57364814916422,0.5244927852052611,0.6199490683011257,0.5639856559799652,0.5235940662502742,-2.603277039996401,-2.499914957648442,0.33073403438535764,0.3241965841556145
5,0.6294976752526477,0.5822051648284297,0.5340815300137697,0.6280111260533545,0.5733119416860667,0.5335562051807351,-2.234120126977098,-2.190920253133712,0.3391266538273678,0.3327582718221059
6,0.6369000146573006,0.591240113867551,0.5445404801835095,0.636097967225284,0.5828143261954608,0.5442401922350346,-1.9756002507242714,-1.9363632979281824,0.34881855960465075,0.34268170508484413
7,0.6438220685178078,0.599830877826374,0.5547973670517963,0.6438730847997896,0.5921363422307783,0.5548813429504855,-1.642982708679161,-1.602642678631643,0.3592312125042082,0.35336735548450277
8,0.6509258002608693,0.6087402304280396,0.5656030058224221,0.6515246625358804,0.6015296555687307,0.5658541680035686,-1.365954374595025,-1.3336265561484493,0.3706848233075307,0.3651164639891329
9,0.6583676642319531,0.6180413293719427,0.5767589945213747,0.6596397653665756,0.6114427390367005,0.5774170453091754,-1.1516045435948978,-1.1240928144898108,0.3828452262706028,0.3776354479066195
10,0.6659744237366263,0.6274879317999696,0.5880884781906306,0.6679994625638086,0.6217057881563619,0.5892477837725154,-0.9681498323955892,-0.945865783506629,0.39573083146574684,0.390855117133449
11,0.6733136156963084,0.636677046231249,0.599153882944401,0.6762215513280422,0.6318440762600152,0.601009847957919,-0.8178975435957577,-0.8025883657807019,0.4093448504981253,0.4048932303906122
12,0.6807470516519961,0.645630382814686,0.6097632171361075,0.6839697867600059,0.6413598880093886,0.6122111776107237,-0.6766537944041575,-0.6581628518602626,0.4237704453631063,0.4198232026108267
13,0.6876925997708161,0.6545906598582371,0.6209392056892363,0.6919951615240609,0.6514235331015512,0.6240159582144315,-0.5506698254586805,-0.5319264737235463,0.4393201540513189,0.43582423660726594
14,0.6922796589985473,0.6616716121384264,0.6302022773217028,0.6982382546188233,0.6598168686594087,0.6344971842810765,-0.4389959876709203,-0.4099550204710232,0.45713849894910724,0.4543304094402948
15,0.6990264968963105,0.6705231781003211,0.6413962790129667,0.7060211801407162,0.6699000771337634,0.6465372555124207,-0.3246208375461486,-0.3082937367168062,0.47614202242953146,0.47406732797305784
16,0.7055120807427099,0.6794120287952771,0.6527698658253712,0.7132520156775154,0.6800086397337105,0.6589820233472531,-0.21469774403273395,-0.18039044876342517,0.4987762960421336,0.49763203452199745
17,0.7116031658060996,0.688028698434252,0.6641539667463127,0.7202011674966503,0.6899004105467685,0.6713353477902286,-0.10627636677736542,-0.07574763772807913,0.5220115858216253,0.5217321911478239
18,0.7166014794340256,0.6955052260725212,0.6742454632063875,0.7264567156927703,0.698841997531337,0.6824879414913091,-0.026896677014508853,-0.006633656520976395,0.5439340668372378,0.5444880241785696
19,0.720408252309364,0.7021120487254078,0.6835357278387449,0.7315795209031255,0.7069808751087029,0.6930578523898893,0.057943730898964485,0.0898052505841864,0.5666871085617604,0.5681504401005323
20,0.7236205813175379,0.7078132665357054,0.6916319397845283,0.7362986301616621,0.7142699080514383,0.7023943330953941,0.12147556463417224,0.1545998375546706,0.5873723683984418,0.5898217078951422
21,0.7258772845767347,0.7125025704524813,0.6985071780707185,0.7402650599891825,0.7205973625236841,0.7106273049459785,0.1740722156682796,0.20994092408233697,0.6063040273684492,0.6097852485424511
22,0.7275638658008148,0.7163920585655212,0.704282292143813,0.7435084471860604,0.7260067529664614,0.7176932085418565,0.20703986739657526,0.24826908931185213,0.6227262680450039,0.6271752335460693
23,0.7289336887576192,0.7197175589898696,0.7092429365954135,0.7461313139493744,0.7306350465676543,0.7237102117931432,0.24705201471575688,0.28617893161260516,0.6365524380912978,0.6417052150299348
24,0.7297674133096446,0.7222830014967048,0.7132237216278785,0.7480556695624668,0.7343254732654532,0.7286074515926242,0.28287620458352086,0.31656121291914824,0.6478935031766055,0.6536556176233437
25,0.7303882303719686,0.7244535291416079,0.7165655742445436,0.7496788686252894,0.7375640134496686,0.7328870206798789,0.29937346228799594,0.3375718640687062,0.6571237172637374,0.6635953072022992
26,0.7306896639110239,0.7262042096340816,0.7193172098599645,0.7508002758164914,0.7401992335932877,0.7364654425473253,0.31600480927262475,0.3547043650217118,0.6645170188477103,0.6716573417166866
27,0.7308762481952156,0.7277122479181095,0.7217809368987176,0.7516913099012154,0.7425153704238026,0.7395941383146826,0.3330794054560842,0.37025386276629213,0.6707855294253244,0.6783368486441995
28,0.7310914597112629,0.7289332986059348,0.7238589516870424,0.7524071818301916,0.7444315330119701,0.7422286617281313,0.33689428494459484,0.3757896675570294,0.6756637571900194,0.6835592975604433
29,0.731410527591275,0.7300893372444269,0.7256299564337008,0.7530707459578038,0.7460848693271113,0.7443567557815775,0.34543857556404245,0.3708031485871107,0.6794491025978943,0.6875280259168874
30,0.7310637352160003,0.7306874271397378,0.7269025986886284,0.7533085564138026,0.7472973298870608,0.7461410315857487,0.3627054845147303,0.3941089813365122,0.6826530170499572,0.6910882516347457
31,0.7305851640599468,0.7311652169899371,0.7280195265680951,0.7531940682858955,0.7481532992163211,0.7475285656791066,0.369064337619778,0.4029099571715819,0.6852376576958875,0.6937021120990131
32,0.730019585893545,0.731347881613679,0.7287021895789347,0.753093017032122,0.748834240332565,0.7486819250376359,0.3728021749586598,0.40823045756460125,0.6873562353205879,0.6962323190529356
33,0.7298114281174108,0.7317153923491838,0.7294558814773203,0.7529589263643023,0.7493968075833722,0.7495938986232769,0.3797315413676953,0.4102783158657606,0.6888210155394846,0.6976819113490006
34,0.7290801549043201,0.7317109012676708,0.7299347216349953,0.7525707247026734,0.7497279136701699,0.7503782667500876,0.3410734403967582,0.383844032252158,0.6904653195347636,0.6995319885075816
35,0.7287375504603686,0.7318449713694201,0.7303339066481555,0.7525112173914401,0.7501014256106939,0.7510476124018218,0.38592867609793685,0.41902975977380574,0.6915355107305318,0.7008796153678944
36,0.7287155522394816,0.7321907985635897,0.7309198575617339,0.7526758681117086,0.7506418498664829,0.751808230024258,0.3777506711576272,0.4044879752910258,0.6925819858218579,0.7020625271962462
37,0.7274475983628884,0.7315560642738341,0.7307328117516078,0.7517279244329053,0.7503586683312361,0.7519447716561924,0.3765873359592207,0.4152515151507747,0.6930685822025958,0.7027182557480866
38,0.7275980266626064,0.7319534672346877,0.7313025024497422,0.7517710380273801,0.7507188241383916,0.7524685284689011,0.3927382943328215,0.4238304913261594,0.6938420812740741,0.7033520698623905
39,0.7265403603232995,0.7314346614693447,0.7311744559521255,0.750987289879143,0.7504121618329114,0.7524772923982778,0.3929430066573656,0.4272414707654068,0.6942991342042136,0.7037689385773915
40,0.7264380168352317,0.7316068617039673,0.7314880079521401,0.7509377530468165,0.7506075711252368,0.7528292249661285,0.3879120923556839,0.41456838001958646,0.6949503519506265,0.7043493988936393
41,0.7251927888138632,0.7308388295925411,0.7310809834107296,0.749934265794066,0.7500529209500925,0.7526402851355565,0.36413245760940044,0.4044713811935068,0.6954054966437396,0.7050103419724577
42,0.7248310581587517,0.7306267227999286,0.7310001732441537,0.7496641877699214,0.7499449958672271,0.7526784438460632,0.3864324125606643,0.4231149187108521,0.6957135773662609,0.705636495182987
43,0.7250468688089411,0.730942520385551,0.7313164875460516,0.7497645773154361,0.750189701793058,0.7529422847603165,0.3675073026054441,0.3895405523412641,0.6956173103761422,0.7053895645732251
44,0.7243422281794695,0.73065659799143,0.731357578771839,0.7490952984585365,0.7498819567460062,0.7528910772512101,0.4012717597698717,0.4315339645842958,0.6961077402805416,0.7057923493051652
45,0.7235245948938918,0.730130871731558,0.7309807829562088,0.748459039472239,0.7494898833291109,0.7526868993950188,0.4014615953407344,0.4303690612798472,0.6960678115846314,0.7059414333841103
46,0.7231361173643518,0.7299406738151782,0.7309758602446381,0.7480474541316801,0.7492857130638194,0.7526413259460475,0.4037805209513523,0.43349274446100955,0.6963653408667603,0.706080833762001
47,0.7223006909769355,0.7294259630268214,0.7306086640955207,0.7474545028289796,0.748864243944943,0.7524350645850243,0.37904834379303876,0.4152389361423495,0.696713783047666,0.7067169302995073
48,0.722047145424598,0.7292948324460543,0.7306087366340034,0.7470698968337982,0.7486831142029238,0.7523664004853847,0.40086342062634533,0.43391739427873066,0.6967369938486496,0.7065410675103687
49,0.7219192140231647,0.7292533657420301,0.7306503955841355,0.7470208182102663,0.7486917617536161,0.7524763193122358,0.40352993151513467,0.4357613781554604,0.6968027232012397,0.7067381336744135
50,0.7217796986791984,0.7292784198461625,0.7307656167961475,0.7467790578399733,0.7486192889095297,0.7524872615245533,0.3869353015829568,0.41188454230323934,0.6968813714762331,0.7065705858017367
51,0.7208536199685529,0.7285854831582123,0.7302862193085184,0.7460084759747437,0.7480067635837773,0.7521035873534849,0.38875272313184434,0.42414071395915487,0.6971742415221099,0.7070828271458138
52,0.7209504375711145,0.7287177095640993,0.7303610327276097,0.7460465938621597,0.7480857054354154,0.7521800852716322,0.3943631353524235,0.4211668909564121,0.6968742780143686,0.7067756811945144
53,0.7212117138892444,0.72904509201546,0.7307500647345371,0.7462433099626167,0.7482304441658371,0.7523502586706174,0.3315642154744328,0.35183660142990597,0.6971606773791111,0.7067692106981448
54,0.7198908133423156,0.7279270533167046,0.7299578840349071,0.7451839465841864,0.7473661959281616,0.7517553332092674,0.360067874218365,0.39525671562088766,0.6974247333538494,0.7073222098336251
55,0.7198718911431787,0.7279770245406051,0.7299873756662811,0.7450425344191279,0.7473204431141234,0.7517467769845191,0.4087695890276191,0.43969087255814593,0.6974141746396579,0.7072325346298094
56,0.7198191674577691,0.7279977281129826,0.7300586819128786,0.7449111687798672,0.7472392898024287,0.7516939011477909,0.40670282011694536,0.4344078910970297,0.6975304709937622,0.7071706846991769
57,0.7195474846010994,0.7278472706359546,0.729969572665792,0.7446833687388207,0.7471016102455259,0.7516370742946415,0.4105700441533306,0.4408474211015584,0.6976209367207411,0.7073253274001604
58,0.719369774221932,0.7277453338739704,0.7299833287072004,0.7444130493809266,0.7469327366614198,0.7515526242970973,0.41123964367349714,0.44085762573924225,0.697820743289587,0.707322028086988
59,0.7188657765732582,0.7273913196983217,0.7298213384644365,0.7438088654766087,0.7464996535659767,0.7512913849640935,0.40117034806656354,0.43256894589884615,0.69794363143132,0.7072466580814191
60,0.7186234469317613,0.7272221135009505,0.7296478674349159,0.7433796875835222,0.7462097554505563,0.7510295291331691,0.40438491867693854,0.42980667746122303,0.6977721869560535,0.7068913897860155
61,0.7184621134568874,0.7270555483066123,0.7294840825728017,0.7432317603442377,0.7460548804498517,0.750963113280503,0.41235536750314006,0.441484217097806,0.6979666662575003,0.707406402233344
62,0.7181597080718495,0.7268555603952659,0.7293413641003564,0.7430090126384914,0.7459157537147572,0.7508753579893863,0.41327158669680175,0.44165255822904803,0.6981434510346645,0.7076280661830242
63,0.7181791319697854,0.7268941109363766,0.7294035550853256,0.7430583778417873,0.7459668322499897,0.7509707035396751,0.41132394391458754,0.4387767515453355,0.6982660577388096,0.7078072120383734
64,0.7176619815542831,0.7265083477092716,0.729083105940252,0.7426245274323895,0.7456062303415046,0.7506700533697898,0.4115811343695584,0.43877005890911824,0.6982778499816017,0.707800899311179
65,0.7177732693376928,0.7266427574866451,0.7292683937573552,0.7425665151378517,0.7455899180626615,0.7506973319660323,0.4123379141438395,0.43985678492789426,0.6982339470517368,0.7075171593157736
66,0.717419346802091,0.7263483797607334,0.7289974534229231,0.7423240475420357,0.7453896959040247,0.7505804320497333,0.41325937752769515,0.44120847828027404,0.6982309725300268,0.7078471144668378
67,0.7170575315699236,0.7260898548114426,0.728860012109544,0.7419461448938038,0.7451264039665016,0.7503886192152598,0.4069324676362321,0.4380373827543512,0.6984413431813066,0.7078801579064203
68,0.7170183770994053,0.7260835516245399,0.7289142908707351,0.7418972549055112,0.7451285916334268,0.7504315465103861,0.4149668983461316,0.4440149128605699,0.6984762470872429,0.7078732107431991
69,0.7168597509450936,0.7259843032106974,0.7288775566453255,0.7417328892519177,0.7449571587564103,0.7503015874562173,0.40422617719510273,0.431080529048745,0.6984506780617259,0.7076857402221463
70,0.7162761298206772,0.7255599551533595,0.7285023606348235,0.7410665550390718,0.7444140583887131,0.7498574378986359,0.41524653551016133,0.4431180223598916,0.6984633192761217,0.7077399255048457
71,0.7160937412948853,0.7254148374917473,0.7284327826058284,0.7408393971361225,0.7442710070977683,0.7498032199826287,0.39637349078444867,0.4275819720256996,0.6986096301703213,0.707906488199785
72,0.7163424295477536,0.7255607934389072,0.7286066469560827,0.7411763484384334,0.7445040387877219,0.7500070333689141,0.40313126359924734,0.43336129164844966,0.6986738473468883,0.707945139002567
73,0.7163560668125193,0.7255441381112055,0.7285255175936908,0.7411909114475791,0.7444648766936067,0.7499279900947651,0.4156505609876798,0.44390414251704724,0.6985896912721742,0.7079199758126543
74,0.7163563867227659,0.725652294346992,0.7287278730218826,0.7409646803225008,0.7443967812257621,0.7498668471707953,0.40969755863714197,0.4362371664246266,0.6986998050101005,0.7075832381140572
75,0.7155120353501868,0.724970678095549,0.7281703736037125,0.7403747828251099,0.7439024615558596,0.7495148052999866,0.416477417918367,0.4451543372061416,0.6987042894235418,0.7078361374127726
76,0.7156800125317632,0.7251680267436278,0.7283808720954983,0.7404324452987059,0.7439885521359598,0.7496462176700246,0.41658999272468233,0.44520222814804133,0.6987757047940185,0.7076976751678725
77,0.7153004594607741,0.7248285748941193,0.7281327278409002,0.7400274698979188,0.7436760573731902,0.7494305541177759,0.41178516794815323,0.44132041229946073,0.698881756733637,0.7078336207402756
78,0.7152182750079091,0.7247788767930029,0.7281016434967533,0.740140401504896,0.7437296999194964,0.7494689150294969,0.41720872914515555,0.44596921933395717,0.6990157569610618,0.7081313120238056
79,0.7156586733567533,0.7251215266974433,0.7283188613631371,0.7405490542358218,0.7440677711711969,0.7497456026710689,0.4115603885262781,0.43965565204670054,0.6990369464902406,0.7082282177463677
80,0.7152758466901585,0.7247911017375024,0.7280230709122475,0.7401688875356268,0.7437474271737884,0.7494671972249664,0.41750184530269835,0.445819605296324,0.6990481653689951,0.7083802667380702
81,0.7157588536002047,0.7252129500247994,0.728455170327766,0.7404078929594411,0.74399638484295,0.7496882704470886,0.41716424680637043,0.44620676649575947,0.6990412733812597,0.7083160056406796
82,0.7163070986420498,0.7256711426706989,0.7288457734080837,0.7406871482358593,0.7442880546033063,0.749951903721013,0.3969229412058646,0.42322977685896146,0.6991032995292894,0.7083088582969929
83,0.7159863746047352,0.7254773791933433,0.7287721007783764,0.7402847385495741,0.743962339969391,0.7496901104848344,0.41663176390162127,0.44489489963754997,0.6992312165506462,0.7080510623137439
84,0.7154233287584741,0.725046791997466,0.728340182946747,0.7400074959875772,0.7437035740594626,0.7494998499367959,0.4167912939537665,0.44618871248192626,0.6993205802788266,0.7084717952974481
85,0.7152403733624757,0.7248492994905205,0.7281941560028197,0.7398917161712658,0.7436197260745918,0.7494517818705945,0.41839137384833053,0.4467028307807097,0.6993477179322507,0.7085058596434176
86,0.7156836258669358,0.7252693925519532,0.7285766717225846,0.7402815154872183,0.7440103289523823,0.7497298450388623,0.40815272175116935,0.4354639101120454,0.6993302547568468,0.7082635483242189
87,0.7153565237232018,0.7250274318440242,0.7283608100348795,0.7401059470318097,0.7437731270125255,0.7495578424508761,0.4149970339891726,0.44441794499465864,0.6994992611675606,0.7087245959421319
88,0.7150221245939213,0.7247597782054969,0.7281668379382131,0.7397124317871555,0.7434498890499996,0.7493055123009353,0.4183182181052672,0.447174233035213,0.6992346661518526,0.7083398519771805
89,0.7155373438353899,0.725266397742401,0.72865717626545,0.7400451924907858,0.7437654960422982,0.7495765965710676,0.4006758444647032,0.4264260926547689,0.6994161854255873,0.7082074533492279
90,0.7162790204757091,0.7257962599076185,0.7290395838892394,0.7406673627036603,0.7442416393556874,0.7499521381572827,0.36621939281471966,0.39081588870131057,0.6995123993900254,0.7084092227089437
91,0.7159252605864146,0.7254719443370218,0.7287673173048757,0.7402676824744683,0.7438723249090469,0.749643170890895,0.39005296412059215,0.4157634356596146,0.6995126881594934,0.7084082268222253
92,0.7154088503768399,0.7250402393038594,0.7283811906859393,0.7398010067877705,0.7434685935914738,0.7493223478906649,0.4115459156125843,0.4382984295977126,0.6995786545603392,0.7085337211486469
93,0.715700317822444,0.7253392340088601,0.7286333684503684,0.7400633008676936,0.7436975479497179,0.7495260413834783,0.4166256599703028,0.44400880982517865,0.6996209118037509,0.7084802692862978
94,0.7151617571293858,0.7248630420252271,0.7282199916377066,0.7395785609361669,0.7433033312029454,0.7492167986369065,0.4193884379485882,0.44772411992435435,0.6997290610183928,0.708702427697436
95,0.7151211590255167,0.7248579102750264,0.7282839003045423,0.7392793461293513,0.7431301608174699,0.7491163269417713,0.4092170696451973,0.438605194496499,0.6996966109106622,0.7084576722866046
96,0.7152840918045537,0.7249704346949128,0.7284347051287667,0.739502840935101,0.7432808397147371,0.7492574412161347,0.4184416084741567,0.4468178295973317,0.6998094107809177,0.7084757152722965
97,0.7155305441242383,0.7252466493725783,0.7286884939835192,0.7397018058729699,0.7434489900730572,0.7493968524159293,0.41705389289295786,0.44426322162424803,0.6998384145185775,0.7083139314208797
98,0.7153202959156683,0.7251192938261187,0.7285222446990867,0.7396069307017534,0.743362642444212,0.7493034772519203,0.40904807411242106,0.43510682496055164,0.6998813566798694,0.708515944541356
99,0.715410295366225,0.7251975649785442,0.7285252264282669,0.7396890826177529,0.7434155416828432,0.7493592839536732,0.4164726596407929,0.4438255168896114,0.699776856999175,0.7085599638810526
